1000,0.023
2000,0.024
3000,0.039
4000,0.049
5000,0.063
6000,0.081
7000,0.097
8000,0.104
9000,0.127
10000,0.143
11000,0.163
12000,0.174
13000,0.195
14000,0.211
15000,0.213
16000,0.228
17000,0.242
18000,0.256
19000,0.288
20000,0.302
21000,0.302
22000,0.334
23000,0.354
24000,0.375
25000,0.395
26000,0.417
27000,0.416
28000,0.451
29000,0.452
30000,0.462
31000,0.487
32000,0.482
33000,0.512
34000,0.656
35000,0.611
36000,0.585
37000,0.566
38000,0.603
39000,0.636
40000,0.635
41000,0.655
42000,0.684
43000,0.7
44000,0.722
45000,0.759
46000,0.765
47000,0.776
48000,0.813
49000,0.814
50000,0.854
51000,0.839
52000,0.878
53000,0.852
54000,0.888
55000,0.894
56000,0.925
57000,0.95
58000,0.947
59000,0.98
60000,0.969
61000,0.991
62000,0.981
63000,1.013
64000,1.024
65000,1.034
66000,1.061
67000,1.092
68000,1.099
69000,1.117
70000,1.157
71000,1.166
72000,1.193
73000,1.186
74000,1.241
75000,1.26
76000,1.25
77000,1.299
78000,1.343
79000,1.322
80000,1.355
81000,1.399
82000,1.387
83000,1.418
84000,1.428
85000,1.445
86000,1.47
87000,1.516
88000,1.562
89000,1.531
90000,1.573
91000,1.618
92000,1.614
93000,1.641
94000,1.675
95000,1.721
96000,1.727
97000,1.735
98000,1.768
99000,1.864
100000,1.813
