1000,0.081
2000,0.134
3000,0.209
4000,0.269
5000,0.364
6000,0.415
7000,0.482
8000,0.562
9000,0.632
10000,0.738
11000,0.776
12000,0.835
13000,0.903
14000,0.997
15000,1.057
16000,1.116
17000,1.196
18000,1.301
19000,1.367
20000,1.402
21000,1.476
22000,1.594
23000,1.645
24000,1.727
25000,1.798
26000,1.882
27000,1.935
28000,2.018
29000,2.105
30000,2.187
31000,2.271
32000,2.369
33000,2.439
34000,2.51
35000,2.58
36000,2.814
37000,2.785
38000,2.895
39000,2.97
40000,3.016
41000,3.11
42000,3.189
43000,3.278
44000,3.355
45000,3.452
46000,3.546
47000,3.658
48000,3.755
49000,3.848
50000,3.929
51000,3.996
52000,4.186
53000,4.267
54000,4.446
55000,4.592
56000,4.759
57000,4.697
58000,4.741
59000,4.868
60000,4.994
61000,5.052
62000,5.169
63000,5.278
64000,6.343
65000,5.882
66000,6.018
67000,5.813
68000,6.131
69000,6.01
70000,6.135
71000,6.233
72000,6.564
73000,7.613
74000,6.847
75000,9.639
76000,10.118
77000,7.768
78000,7.28
79000,7.839
80000,7.928
81000,7.73
82000,7.856
83000,7.951
84000,7.891
85000,8.139
86000,8.292
87000,8.37
88000,8.585
89000,8.738
90000,8.604
91000,8.875
92000,9.054
93000,9.127
94000,9.296
95000,9.555
96000,9.557
97000,9.426
98000,9.458
99000,9.656
100000,10.055
